vertices,nanoseconds_sorted,nanoseconds_random,nanoseconds_inverted
29,112184,119339,157406
29,110422,116340,120436
29,109747,116115,151801
29,110841,120545,120393
29,110112,117197,116548
29,115809,1.96463e+06,118856
29,117427,121008,117886
29,114982,117938,118456
29,143355,119297,116089
29,112195,116451,118842
29,113077,118448,121284
29,111501,117662,112687
29,107365,170078,117955
29,108365,117087,117832
29,108962,116168,115479
29,108545,118370,115481
29,109531,117646,117127
29,110009,115507,115250
29,108184,118588,118220
29,105136,120896,114967
29,108566,113800,117147
29,105492,113941,118979
29,109658,115468,116514
29,109629,115219,117111
29,109935,114677,115561
29,2.89475e+06,116794,118731
29,111143,118143,117714
29,109391,118673,116038
29,109169,116554,116626
29,109461,115879,114568
29,108993,113689,118622
29,108960,114226,118169
29,109424,116063,741370
29,111946,5.92416e+06,122376
29,110591,117197,1.39082e+06
29,113282,122625,133844
29,166441,238815,218237
29,113709,2.08388e+06,114206
29,107759,113605,113111
