clients,factories,routes,nanoseconds
18,17,595,197648
18,17,595,272121
18,17,595,209985
18,17,595,177438
18,17,595,173021
18,17,595,178436
18,17,595,229962
19,18,666,236216
19,18,666,268228
19,18,666,201742
19,18,666,199205
19,18,666,193055
19,18,666,196884
19,18,666,259147
19,18,666,230468
19,18,666,203526
19,18,666,256637
19,18,666,198050
19,18,666,360023
19,18,666,212501
19,18,666,212740
19,18,666,198921
19,18,666,191084
19,18,666,188625
19,18,666,194564
19,18,666,187006
19,18,666,194943
19,18,666,195828
19,18,666,279397
19,18,666,204752
19,18,666,197836
19,18,666,215220
19,18,666,211325
19,18,666,188207
19,18,666,197575
19,18,666,201003
19,18,666,192755
19,18,666,192978
19,18,666,190119
19,18,666,194709
19,18,666,192507
19,18,666,194754
19,18,666,192200
19,18,666,198035
19,18,666,191999
19,18,666,188864
19,18,666,189055
19,18,666,187650
19,18,666,941897
19,18,666,206568
19,18,666,196227
19,18,666,195640
19,18,666,188384
19,18,666,188073
19,18,666,194846
19,18,666,193183
19,18,666,195760
19,18,666,200192
19,18,666,195530
19,18,666,195181
19,18,666,196814
19,18,666,195399
19,18,666,201896
19,18,666,436978
19,18,666,234911
19,18,666,230483
19,18,666,253588
19,18,666,278502
19,18,666,222378
19,18,666,187299
19,18,666,191651
19,18,666,191318
19,18,666,198533
19,18,666,190565
19,18,666,193581
19,18,666,207769
19,18,666,198469
19,18,666,190293
19,18,666,183908
19,18,666,220486
19,18,666,203050
19,18,666,194430
19,18,666,197160
19,18,666,214376
19,18,666,190879
19,18,666,188773
19,18,666,186580
19,18,666,212861
19,18,666,138528
19,18,666,575958
19,18,666,219177
19,18,666,189880
19,18,666,194280
19,18,666,190691
19,18,666,193601
19,18,666,202446
19,18,666,202716
19,18,666,211495
19,18,666,199232
19,18,666,195510
19,18,666,194278
19,18,666,188903
19,18,666,194007
19,18,666,180684
19,18,666,186584
19,18,666,185498
19,18,666,189329
20,19,741,258935
20,19,741,295729
20,19,741,230200
20,19,741,232416
20,19,741,212016
20,19,741,223318
20,19,741,226216
20,19,741,250160
20,19,741,256444
20,19,741,236021
20,19,741,296220
20,19,741,401926
20,19,741,820402
20,19,741,250029
20,19,741,475482
20,19,741,367257
20,19,741,263227
20,19,741,219623
20,19,741,225224
20,19,741,221182
20,19,741,274059
20,19,741,231766
20,19,741,234737
20,19,741,215645
20,19,741,209688
20,19,741,536103
20,19,741,280400
20,19,741,249943
20,19,741,282961
20,19,741,237941
20,19,741,281312
20,19,741,223179
20,19,741,258882
20,19,741,274217
20,19,741,247772
20,19,741,237582
20,19,741,220456
20,19,741,223571
20,19,741,216818
20,19,741,214719
20,19,741,219223
20,19,741,222273
20,19,741,218364
20,19,741,238261
