clients,factories,routes,nanoseconds
51,49,128,49738
51,49,128,50712
51,49,128,86393
51,49,128,85133
51,49,128,76391
51,49,128,77419
51,49,128,75080
51,49,128,160156
51,49,128,118278
51,49,128,101950
51,49,128,86451
51,49,128,89544
51,49,128,74753
51,49,128,90962
51,49,128,76755
51,49,128,97842
51,49,128,111878
51,49,129,109044
51,49,129,98905
51,49,129,90206
51,49,129,119587
51,49,129,90278
51,49,129,74004
51,49,129,81110
51,49,129,72802
51,49,129,77025
51,49,129,77437
51,49,129,74844
51,49,129,74134
51,49,129,76220
51,49,129,77233
51,49,129,83684
51,49,129,80112
51,49,129,81298
51,49,129,82820
51,49,129,79055
51,49,129,72103
51,49,129,97367
51,49,129,76475
51,49,129,78682
51,49,129,80353
51,49,129,80422
51,49,129,76965
51,49,129,76977
51,49,129,75532
51,49,129,73399
51,49,129,86473
51,49,129,80517
51,49,129,82375
51,49,129,80068
51,49,129,75005
51,49,129,77573
51,49,129,77189
51,49,129,78425
51,49,129,74679
51,49,129,78588
51,49,129,72940
51,49,129,75991
51,49,129,145010
51,49,129,148338
51,49,129,82155
51,49,129,79703
51,49,129,81210
51,49,129,76042
51,49,129,76026
51,49,129,75462
51,49,129,72830
51,49,130,79016
51,49,130,75963
51,49,130,78337
51,49,130,76657
51,49,130,86029
51,49,130,88679
51,49,130,80762
51,49,130,77010
51,49,130,72647
51,49,130,74775
51,49,130,147566
51,49,130,78987
51,49,130,79839
51,49,130,79381
51,49,130,147738
51,49,130,78178
51,49,130,154077
51,49,130,149677
51,49,130,83500
51,49,130,74723
51,49,130,145283
51,49,130,80799
51,49,130,80323
51,49,130,97156
51,49,130,101086
51,49,130,102419
51,49,130,120919
51,49,130,112769
51,49,130,118257
51,49,130,94728
51,49,130,86473
51,49,130,77876
51,49,130,99462
51,49,130,87575
51,49,130,82535
51,49,130,86919
51,49,130,69897
51,49,130,81420
51,49,130,75918
51,49,130,80750
51,49,130,58451
51,49,130,74524
